customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0029-4990,Male,0,Yes,No,27,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.89,2231.55,Yes
C0030-5053,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,98.57,2476.01,No
C0031-3044,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),106.9,1805.7,Yes
C0032-1829,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.7,1129.22,No
C0033-5990,Male,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.91,2999.14,No
C0034-8990,Female,1,Yes,Yes,63,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,103.51,6530.75,No
C0035-1574,Female,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.61,348.99,No
C0036-8723,Female,1,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.78,2049.05,No
C0037-8447,Female,0,No,No,17,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.33,1765.26,Yes
C0038-3490,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),97.94,268.15,Yes
C0039-6684,Male,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,44.45,2561.65,No
C0040-2486,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.08,213.83,Yes
C0041-7822,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,109.51,3405.21,No
C0042-7304,Male,0,No,No,6,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.83,494.28,No
C0043-4190,Female,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),98.64,3545.53,Yes
C0044-1611,Female,0,No,No,8,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.72,784.63,No
C0045-9735,Female,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,55.67,No
C0046-5010,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),114.18,2394.92,No
C0047-9037,Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.8,175.0,Yes
C0048-7100,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,123.78,2725.02,No
C0049-8004,Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.66,831.23,No
C0050-7838,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.58,2124.98,No
C0051-2751,Male,0,No,No,29,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.96,2553.57,Yes
C0052-4274,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.35,1017.61,No
C0053-5200,Female,0,No,No,60,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.89,4246.6,No
C0054-5479,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.17,203.97,No
C0055-1394,Female,0,Yes,No,11,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,70.79,808.97,No
C0056-5918,Male,0,No,No,44,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),70.65,3084.27,No
C0057-2388,Female,0,No,No,16,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,91.0,1470.59,No
C0058-7689,Male,0,No,No,19,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,89.48,1702.55,Yes
C0059-7146,Male,0,No,No,26,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,95.71,2483.8,No
C0060-9301,Male,0,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),57.76,461.05,No
C0061-7702,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.37,137.67,No
C0062-4299,Female,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.25,739.97,Yes
C0063-9706,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.07,683.72,No
C0064-4697,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,84.56,3076.26,No
C0065-3932,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,95.53,2373.4,Yes
C0066-9148,Female,0,No,No,43,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),111.85,4807.28,No
C0067-4333,Female,1,Yes,Yes,24,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.27,1773.72,No
C0068-1687,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,116.7,5582.55,No
C0069-5225,Male,0,No,Yes,19,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),77.25,1458.03,No
C0070-8160,Female,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,93.92,186.19,No
C0071-2705,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),98.43,1372.93,Yes
C0072-5166,Male,1,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.83,1115.86,No
C0073-2169,Male,0,No,No,40,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,87.69,3533.5,No
C0074-7177,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,82.34,1217.89,Yes
C0075-5280,Female,0,No,No,29,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,71.5,2068.54,No
C0076-3971,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.64,1591.53,Yes
C0077-3041,Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),36.96,443.48,No
C0078-6079,Male,0,Yes,No,40,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),81.6,3281.05,Yes
C0079-7027,Male,1,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,124.25,4225.13,Yes
C0080-9461,Male,1,No,No,72,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,89.34,6447.47,No
C0081-4933,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),39.3,586.58,No
C0082-2446,Male,1,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),43.11,2777.43,No
C0083-8493,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,115.46,575.78,Yes
C0084-6667,Female,0,No,No,64,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.62,5665.41,Yes
C0085-7301,Female,1,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),99.56,2496.68,No
C0086-1874,Male,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,129.84,2328.65,No
C0087-3810,Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,108.16,3697.73,No
C0088-7909,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.32,3021.63,Yes
C0089-8489,Male,0,No,No,59,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,56.46,3336.47,No
C0090-4916,Male,0,No,No,10,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,67.8,688.37,Yes
C0091-8242,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,103.2,521.4,No
C0092-8574,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),101.89,3442.16,Yes
C0093-4486,Male,0,Yes,Yes,32,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.03,2223.26,No
C0094-9081,Male,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.35,3007.15,No
C0095-3594,Female,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.23,904.2,No
C0096-3155,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.47,379.66,No
C0097-7141,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,122.24,4016.96,Yes
C0098-6730,Male,0,No,No,26,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.27,2555.81,No
C0099-2257,Male,0,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),117.51,4598.82,No
C0100-8493,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),73.09,896.89,Yes
C0101-2798,Female,1,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),101.83,6536.09,No
C0102-8243,Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.19,3065.36,Yes
C0103-1066,Male,0,No,No,57,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.68,5095.27,Yes
C0104-8170,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,111.37,2445.1,No
C0105-8081,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,104.17,1248.18,No
C0106-8022,Female,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,107.67,3768.05,No
C0107-6982,Male,0,No,No,43,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,68.93,2940.25,No
C0108-5243,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,53.64,214.72,No
C0109-7345,Female,1,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.44,1770.65,No
C0110-3493,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),110.18,1424.58,No
C0111-8025,Female,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.33,2445.89,No
C0112-6000,Female,0,No,No,41,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),80.78,3330.87,No
C0113-5129,Male,1,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),52.39,1339.82,No
C0114-5549,Male,1,No,No,27,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.92,1975.48,No
C0115-6118,Female,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.0,1537.05,No
C0116-1335,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,111.73,314.26,No
C0117-2258,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.15,1338.22,No
C0118-3209,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,119.24,1895.37,No
C0119-2030,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,143.34,8030.47,No
C0120-4956,Male,0,No,No,49,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.53,4557.85,No
C0121-7014,Male,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.07,175.46,No
C0122-6889,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,102.96,521.68,No
C0123-5239,Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,113.6,8191.23,No
C0124-8694,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),79.78,89.22,No
C0125-6086,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,71.95,1004.03,No
C0126-1712,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,109.13,886.95,No
C0127-7884,Male,0,Yes,Yes,63,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.22,5561.85,No
C0128-6170,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,83.78,1815.27,No
C0129-6711,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.51,1250.55,Yes
C0130-6087,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.59,699.96,No
C0131-5981,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),105.72,7593.71,No
C0132-1815,Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.54,1236.27,No
C0133-6032,Male,0,Yes,Yes,37,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,78.68,2894.8,No
C0134-8153,Male,1,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),87.7,359.78,Yes
C0135-3735,Female,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,120.73,7013.34,No
C0136-6424,Female,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),44.39,401.06,No
C0137-1277,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,112.72,3962.33,No
C0138-4127,Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,102.98,1235.2,No
C0139-4930,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.14,791.43,No
C0140-9843,Female,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.46,977.92,No
C0141-2931,Female,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.92,1485.85,Yes
C0142-3488,Male,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),106.23,1806.34,Yes
C0143-4676,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.21,1553.44,No
C0144-9932,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.34,889.35,Yes
C0145-8679,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,135.41,975.4,Yes
C0146-1312,Female,0,No,No,35,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.29,3565.99,No
C0147-3105,Female,0,Yes,Yes,51,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,79.72,4066.17,No
C0148-8394,Male,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,89.57,716.13,Yes
C0149-1524,Male,0,Yes,No,20,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,107.77,2184.3,No
C0150-8700,Male,0,No,Yes,27,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,84.93,2300.68,Yes
C0151-3532,Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,106.75,5017.73,No
C0152-9257,Male,1,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.51,2557.03,Yes
C0153-3642,Female,0,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),103.87,430.04,No
C0154-4908,Male,1,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,81.45,5855.44,No
C0155-6956,Female,0,Yes,No,38,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),96.62,3670.31,No
C0156-2136,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),92.47,2326.57,No
C0157-6012,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,91.16,4179.65,No
C0158-5544,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.32,6967.33,No
C0159-8054,Female,0,No,No,22,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,73.0,1627.85,No
C0160-9963,Female,1,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,112.6,2262.37,Yes
C0161-6978,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,114.94,795.26,Yes
C0162-4682,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),36.56,726.05,No
C0163-4657,Male,0,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),124.08,4974.79,No
C0164-4761,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.23,732.08,No
C0165-8325,Female,0,Yes,No,19,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,104.35,2024.36,No
C0166-3890,Male,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,117.91,8476.61,No
C0167-2502,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,113.31,3637.27,No
C0168-4008,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.61,1231.65,No
C0169-1204,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,113.46,4498.85,No
C0170-1955,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,104.35,5552.91,No
C0171-1810,Female,0,Yes,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,489.2,No
C0172-7943,Female,0,Yes,Yes,11,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,106.96,1199.52,No
C0173-7500,Male,0,No,No,37,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.15,3831.31,Yes
