customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,service_count,avg_monthly_spend
C0020-5502,Female,0,No,No,14,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,70.54,962.32,No,13-24 months,3,68.73714285714286
C0021-4336,Female,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.8,4173.9,No,25-48 months,5,104.3475
C0022-2642,Female,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.82,2293.73,No,25-48 months,3,84.95296296296296
C0023-9339,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.84,4739.62,No,25-48 months,4,107.71863636363636
C0024-8033,Female,1,No,No,43,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.85,2988.2,No,25-48 months,3,69.49302325581395
C0025-6794,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.01,1119.92,No,49-72 months,1,19.647719298245615
C0026-4621,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.69,703.79,No,0-12 months,4,100.54142857142857
C0027-8404,Female,0,Yes,Yes,57,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),50.4,2867.54,No,49-72 months,2,50.307719298245615
C0028-5908,Male,0,Yes,No,36,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.75,3184.59,No,25-48 months,4,88.46083333333334
C0029-4990,Male,0,Yes,No,27,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.89,2231.55,Yes,25-48 months,3,82.65
C0030-5053,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,98.57,2476.01,No,25-48 months,4,99.0404
C0031-3044,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),106.9,1805.7,Yes,13-24 months,4,106.21764705882353
C0032-1829,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.7,1129.22,No,25-48 months,1,45.168800000000005
C0033-5990,Male,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.91,2999.14,No,25-48 months,5,107.11214285714286
C0034-8990,Female,1,Yes,Yes,63,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,103.51,6530.75,No,49-72 months,5,103.66269841269842
C0035-1574,Female,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.61,348.99,No,13-24 months,2,24.927857142857142
C0036-8723,Female,1,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.78,2049.05,No,25-48 months,2,45.534444444444446
C0037-8447,Female,0,No,No,17,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.33,1765.26,Yes,13-24 months,6,103.83882352941177
C0038-3490,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),97.94,268.15,Yes,0-12 months,3,89.38333333333333
C0039-6684,Male,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,44.45,2561.65,No,49-72 months,1,44.16637931034483
C0040-2486,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.08,213.83,Yes,0-12 months,2,42.766000000000005
C0041-7822,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,109.51,3405.21,No,25-48 months,4,109.84548387096774
C0042-7304,Male,0,No,No,6,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.83,494.28,No,0-12 months,1,82.38
C0043-4190,Female,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),98.64,3545.53,Yes,25-48 months,4,98.48694444444445
C0044-1611,Female,0,No,No,8,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.72,784.63,No,0-12 months,4,98.07875
C0045-9735,Female,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,55.67,No,0-12 months,0,13.9175
C0046-5010,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),114.18,2394.92,No,13-24 months,4,114.04380952380953
C0047-9037,Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.8,175.0,Yes,0-12 months,5,87.5
C0048-7100,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,123.78,2725.02,No,13-24 months,5,123.86454545454545
C0049-8004,Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.66,831.23,No,25-48 months,2,18.471777777777778
C0050-7838,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.58,2124.98,No,49-72 months,1,29.51361111111111
C0051-2751,Male,0,No,No,29,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.96,2553.57,Yes,25-48 months,2,88.05413793103449
C0052-4274,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.35,1017.61,No,13-24 months,1,42.400416666666665
C0053-5200,Female,0,No,No,60,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.89,4246.6,No,49-72 months,3,70.77666666666667
C0054-5479,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.17,203.97,No,0-12 months,1,29.138571428571428
C0055-1394,Female,0,Yes,No,11,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,70.79,808.97,No,0-12 months,1,73.54272727272728
C0056-5918,Male,0,No,No,44,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),70.65,3084.27,No,25-48 months,2,70.09704545454545
C0057-2388,Female,0,No,No,16,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,91.0,1470.59,No,13-24 months,5,91.911875
C0058-7689,Male,0,No,No,19,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,89.48,1702.55,Yes,13-24 months,3,89.6078947368421
C0059-7146,Male,0,No,No,26,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,95.71,2483.8,No,25-48 months,3,95.53076923076924
C0060-9301,Male,0,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),57.76,461.05,No,0-12 months,2,57.63125
C0061-7702,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.37,137.67,No,0-12 months,1,34.4175
C0062-4299,Female,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.25,739.97,Yes,0-12 months,2,67.27
C0063-9706,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.07,683.72,No,13-24 months,2,37.98444444444445
C0064-4697,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,84.56,3076.26,No,25-48 months,3,85.45166666666667
C0065-3932,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,95.53,2373.4,Yes,25-48 months,2,94.936
C0066-9148,Female,0,No,No,43,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),111.85,4807.28,No,25-48 months,3,111.79720930232557
C0067-4333,Female,1,Yes,Yes,24,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.27,1773.72,No,13-24 months,3,73.905
C0068-1687,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,116.7,5582.55,No,25-48 months,5,116.30312500000001
C0069-5225,Male,0,No,Yes,19,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),77.25,1458.03,No,13-24 months,3,76.73842105263158
C0070-8160,Female,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,93.92,186.19,No,0-12 months,5,93.095
C0071-2705,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),98.43,1372.93,Yes,13-24 months,2,98.06642857142857
C0072-5166,Male,1,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.83,1115.86,No,25-48 months,2,41.328148148148145
C0073-2169,Male,0,No,No,40,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,87.69,3533.5,No,25-48 months,4,88.3375
C0074-7177,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,82.34,1217.89,Yes,13-24 months,3,81.19266666666667
C0075-5280,Female,0,No,No,29,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,71.5,2068.54,No,25-48 months,4,71.32896551724137
C0076-3971,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.64,1591.53,Yes,13-24 months,3,93.61941176470589
C0077-3041,Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),36.96,443.48,No,0-12 months,1,40.31636363636364
C0078-6079,Male,0,Yes,No,40,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),81.6,3281.05,Yes,25-48 months,4,82.02625
C0079-7027,Male,1,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,124.25,4225.13,Yes,25-48 months,5,124.2685294117647
C0080-9461,Male,1,No,No,72,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,89.34,6447.47,No,49-72 months,4,89.54819444444445
C0081-4933,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),39.3,586.58,No,13-24 months,1,39.105333333333334
C0082-2446,Male,1,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),43.11,2777.43,No,49-72 months,1,43.39734375
C0083-8493,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,115.46,575.78,Yes,0-12 months,4,115.15599999999999
C0084-6667,Female,0,No,No,64,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.62,5665.41,Yes,49-72 months,5,88.52203125
C0085-7301,Female,1,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),99.56,2496.68,No,25-48 months,2,99.8672
C0086-1874,Male,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,129.84,2328.65,No,13-24 months,5,129.36944444444444
C0087-3810,Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,108.16,3697.73,No,25-48 months,3,108.75676470588235
C0088-7909,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.32,3021.63,Yes,25-48 months,4,83.93416666666667
C0089-8489,Male,0,No,No,59,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,56.46,3336.47,No,49-72 months,2,56.55033898305084
C0090-4916,Male,0,No,No,10,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,67.8,688.37,Yes,0-12 months,3,68.837
C0091-8242,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,103.2,521.4,No,0-12 months,3,104.28
C0092-8574,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),101.89,3442.16,Yes,25-48 months,4,101.24
C0093-4486,Male,0,Yes,Yes,32,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.03,2223.26,No,25-48 months,3,69.476875
C0094-9081,Male,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.35,3007.15,No,49-72 months,2,51.84741379310345
C0095-3594,Female,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.23,904.2,No,13-24 months,2,56.5125
C0096-3155,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.47,379.66,No,13-24 months,1,29.204615384615387
C0097-7141,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,122.24,4016.96,Yes,25-48 months,4,121.72606060606061
C0098-6730,Male,0,No,No,26,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.27,2555.81,No,25-48 months,5,98.30038461538462
C0099-2257,Male,0,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),117.51,4598.82,No,25-48 months,5,117.91846153846153
C0100-8493,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),73.09,896.89,Yes,0-12 months,4,74.74083333333333
C0101-2798,Female,1,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),101.83,6536.09,No,49-72 months,2,102.12640625
C0102-8243,Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.19,3065.36,Yes,25-48 months,4,95.7925
C0103-1066,Male,0,No,No,57,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.68,5095.27,Yes,49-72 months,3,89.39070175438597
C0104-8170,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,111.37,2445.1,No,13-24 months,4,111.14090909090909
C0105-8081,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,104.17,1248.18,No,0-12 months,5,104.015
C0106-8022,Female,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,107.67,3768.05,No,25-48 months,4,107.65857142857143
C0107-6982,Male,0,No,No,43,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,68.93,2940.25,No,25-48 months,3,68.37790697674419
C0108-5243,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,53.64,214.72,No,0-12 months,2,53.68
C0109-7345,Female,1,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.44,1770.65,No,49-72 months,0,24.592361111111114
C0110-3493,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),110.18,1424.58,No,13-24 months,5,109.58307692307692
C0111-8025,Female,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.33,2445.89,No,25-48 months,2,87.35321428571429
C0112-6000,Female,0,No,No,41,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),80.78,3330.87,No,25-48 months,4,81.24073170731707
C0113-5129,Male,1,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),52.39,1339.82,No,25-48 months,2,51.53153846153846
C0114-5549,Male,1,No,No,27,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.92,1975.48,No,25-48 months,2,73.16592592592593
C0115-6118,Female,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.0,1537.05,No,25-48 months,2,54.894642857142856
C0116-1335,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,111.73,314.26,No,0-12 months,5,104.75333333333333
C0117-2258,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.15,1338.22,No,25-48 months,2,46.14551724137931
C0118-3209,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,119.24,1895.37,No,13-24 months,5,118.460625
C0119-2030,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,143.34,8030.47,No,49-72 months,7,143.40125
C0120-4956,Male,0,No,No,49,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.53,4557.85,No,49-72 months,5,93.01734693877552
C0121-7014,Male,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.07,175.46,No,0-12 months,1,29.243333333333336
C0122-6889,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,102.96,521.68,No,0-12 months,5,104.33599999999998
C0123-5239,Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,113.6,8191.23,No,49-72 months,5,113.76708333333333
C0124-8694,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),79.78,89.22,No,0-12 months,3,89.22
C0125-6086,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,71.95,1004.03,No,13-24 months,3,71.71642857142857
C0126-1712,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,109.13,886.95,No,0-12 months,4,110.86875
C0127-7884,Male,0,Yes,Yes,63,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.22,5561.85,No,49-72 months,2,88.28333333333335
C0128-6170,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,83.78,1815.27,No,13-24 months,2,82.51227272727273
C0129-6711,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.51,1250.55,Yes,13-24 months,3,96.19615384615385
C0130-6087,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.59,699.96,No,25-48 months,2,26.921538461538464
C0131-5981,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),105.72,7593.71,No,49-72 months,4,105.46819444444445
C0132-1815,Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.54,1236.27,No,25-48 months,1,32.53342105263158
C0133-6032,Male,0,Yes,Yes,37,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,78.68,2894.8,No,25-48 months,2,78.23783783783784
C0134-8153,Male,1,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),87.7,359.78,Yes,0-12 months,3,89.945
C0135-3735,Female,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,120.73,7013.34,No,49-72 months,5,120.9196551724138
C0136-6424,Female,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),44.39,401.06,No,0-12 months,1,40.106
C0137-1277,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,112.72,3962.33,No,25-48 months,2,113.20942857142857
C0138-4127,Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,102.98,1235.2,No,0-12 months,3,102.93333333333334
C0139-4930,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.14,791.43,No,25-48 months,1,30.439615384615383
C0140-9843,Female,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.46,977.92,No,25-48 months,2,39.1168
C0141-2931,Female,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.92,1485.85,Yes,49-72 months,0,20.636805555555554
C0142-3488,Male,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),106.23,1806.34,Yes,13-24 months,3,106.25529411764705
C0143-4676,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.21,1553.44,No,25-48 months,2,48.545
C0144-9932,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.34,889.35,Yes,13-24 months,2,40.425000000000004
